id,is_relevant,sentiment_label,sentiment_score,reason
1r4en2l,True,negative,-0.7,The title directly addresses Meta's plan for face recognition while highlighting privacy concerns.
1rj4jmu,True,negative,-0.7,"Highlights privacy concerns regarding data transfer for review, directly impacting facial recognition/data handling."
1rlxj74,False,neutral,0.0,"The post discusses general privacy concerns and content review, not specifically the 'Name Tag' facial recognition feature."
1rp1mpv,True,negative,-0.8,"Discusses controversial real-world use of Meta AI glasses by law enforcement, raising privacy and surveillance concerns."
1rs8t2l,False,negative,-0.8,"Focuses on general data privacy/surveillance lawsuits, not specifically the 'Name Tag' facial recognition feature."
1rvbza0,True,negative,-0.6,The title expresses worry about privacy and the potential for smart glasses to be seen as 'pervert glasses.'
1rx4wiu,True,negative,-0.7,The post details intense scrutiny and privacy concerns regarding Meta's facial recognition plans.
1sl5k39,False,neutral,0.0,"The post discusses open-source smart glasses generally, not Meta's Name Tag facial recognition feature."
1oo468c,False,negative,-0.6,"Discusses general privacy concerns with smart glasses, not specifically Meta's 'Name Tag' facial recognition feature."
1pbnmx3,True,negative,-0.8,The post discusses the misuse of Meta glasses' facial recognition capabilities for real-time doxxing.
1pqlsl2,False,neutral,0.1,"The post discusses general privacy concerns and camera usage, not specifically Meta's Name Tag facial recognition feature."
1q0srds,False,neutral,0.1,"Focuses on general privacy concerns and bans of smart glasses, not Meta's Name Tag facial recognition feature."
1q7g4rj,False,neutral,0.1,"The post discusses general features (audio, camera) but does not mention Name Tag or facial recognition."
1rkps9x,False,neutral,0.1,"The post discusses general features and privacy concerns, but does not mention Meta's 'Name Tag' facial recognition feature."
1rm7944,False,neutral,0.1,"The post discusses general privacy concerns with Meta, but does not mention the 'Name Tag' facial recognition feature specifically."
1kbchf0,True,negative,-0.7,"The title explicitly raises a privacy concern regarding Meta Smart Glasses, suggesting negative sentiment toward the technology."
1s9z08o,False,neutral,0.0,"The post discusses Snapchat's strategy, not Meta's Name Tag facial recognition feature."
1ihtt0t,False,neutral,0.0,"The post discusses Meta Quest 2 head straps, not the Ray-Ban Meta Name Tag feature."
